County,MPV,Hatchback,Saloon,Station Wagon,Sports Coupe,Estate,Wheelchair Accessible,Liftback,Jeep,Quadricycle,Convertible
Carlow,89,28,33,36,0,16,0,0,5,0,0
Cavan,64,22,19,34,0,9,0,0,6,0,0
Clare,163,57,53,88,0,52,0,0,12,0,0
Cork,917,420,439,886,0,240,0,1,99,1,0
Donegal,214,49,25,114,0,35,1,0,18,0,0
Dublin,3890,1918,2757,4911,1,1912,10,13,582,3,5
Galway,254,150,118,247,1,103,5,0,36,0,0
Kerry,207,47,42,102,0,41,0,0,4,1,0
Kildare,488,160,211,418,0,222,2,0,31,0,0
Kilkenny,143,48,54,99,0,45,0,4,4,0,0
Laois,102,36,33,47,0,29,0,2,5,0,0
Leitrim,22,5,5,10,0,6,0,0,3,0,0
Limerick,253,116,125,173,0,84,0,0,21,0,0
Longford,22,7,8,17,0,12,0,0,1,0,0
Louth,199,100,57,104,0,67,1,0,10,1,0
Mayo,100,30,27,54,0,24,0,0,4,0,0
Meath,410,144,175,238,0,117,1,0,31,0,0
Monaghan,37,12,18,38,0,9,0,0,1,0,0
Offaly,75,28,25,51,0,19,1,1,3,0,0
Roscommon,48,21,15,35,0,22,1,0,3,0,0
Sligo,74,30,22,35,0,21,2,0,3,0,0
Tipperary,159,58,52,96,0,31,0,0,6,0,1
Waterford,171,82,84,113,0,90,0,2,17,0,0
Westmeath,129,28,36,80,0,32,0,0,4,0,0
Wexford,162,105,76,150,0,100,1,2,9,0,1
Wicklow,251,121,179,220,0,99,0,3,25,0,0
