,MTH,MPV,Hatchback,Saloon,Estate,Station Wagon,Sports Coupe,Wheelchair Accessible,Liftback,Jeep,Quadricycle,Convertible,Hearse,Van,
0,January,4480,4517,1509,908,3194,31,6,6,201,0,1,0,0,0
1,February,1518,1649,1053,270,1548,21,0,7,147,0,1,2,0,0
2,March,1540,1979,940,392,1674,25,2,5,117,0,0,1,0,0
3,April,718,940,410,352,1147,10,6,2,89,0,0,0,0,0
4,May,804,672,316,100,684,11,0,7,71,0,1,0,0,0
5,June,339,180,352,46,149,1,1,0,17,0,1,0,0,0
6,July,3480,3522,1020,728,2942,34,5,4,260,0,5,0,2,0
7,August,1211,1007,584,198,776,8,1,1,91,1,2,0,0,0
8,September,730,836,401,69,669,4,0,3,88,1,4,0,0,0
9,October,343,392,152,119,324,0,2,0,63,3,3,0,0,0
10,November,163,205,248,36,164,0,2,0,19,1,0,0,0,0
11,December,63,42,208,5,35,0,0,0,0,0,1,0,0,0
