MTH,MPV,Hatchback,Saloon,Station Wagon,Sports Coupe,Estate,Wheelchair Accessible,Liftback,Jeep,Quadricycle,Convertible
January,2408,986,721,1874,0,902,6,4,191,0,0
February,784,491,667,929,1,259,0,5,139,0,1
March,851,328,626,1114,0,379,2,3,105,0,0
April,477,275,235,787,1,343,6,2,66,0,0
May,544,156,217,504,0,319,0,7,67,0,0
June,280,34,323,100,0,44,1,0,17,0,0
July,1806,908,639,1734,0,711,5,3,141,0,0
August,593,210,439,456,0,188,1,1,65,1,1
September,469,228,283,480,0,137,0,3,76,1,1
October,222,133,112,248,0,114,2,0,59,3,3
November,151,68,223,137,0,36,2,0,17,1,0
December,58,5,203,33,0,5,0,0,0,0,1
