County,ALFA ROMEO,AUDI,BMW,BYD,CITROEN,CUPRA,FIAT,FORD,GWM,HONDA,HYUNDAI,JAGUAR,KIA,LAND ROVER,LEXUS,MAZDA,MERCEDES-BENZ,MG,NISSAN,OPEL,PEUGEOT,POLESTAR,PORSCHE,RENAULT,SKODA,SMART,SUBARU,TESLA,TOYOTA,VOLKSWAGEN,VOLVO,DS,FERRARI,LOTUS,MINI,SSANGYONG,JEEP,SEAT,DACIA
Carlow,0,5,7,15,2,1,0,7,0,0,35,0,39,1,1,1,4,3,4,1,6,0,1,2,4,0,0,18,19,14,12,0,0,0,2,0,2,0,1
Cavan,0,1,4,8,1,1,0,15,0,1,21,0,15,2,4,0,6,7,12,0,0,2,0,1,3,0,0,12,25,9,3,0,0,0,0,0,1,0,0
Clare,1,11,30,9,2,4,0,40,0,3,48,0,68,6,8,0,21,26,18,0,4,6,1,3,1,0,0,32,13,56,13,0,0,0,1,0,0,0,0
Cork,1,120,382,142,4,37,5,176,2,5,262,4,345,122,48,39,97,163,71,6,31,6,13,41,39,1,0,293,135,202,197,1,0,0,10,0,3,0,0
Donegal,0,9,11,4,4,8,0,33,0,0,59,1,114,9,17,2,4,11,12,4,7,0,1,5,12,0,0,21,32,26,50,0,0,0,0,0,0,0,0
Dublin,12,888,2170,766,116,369,22,540,24,18,1256,41,1226,629,254,105,776,414,254,78,253,237,314,170,313,30,9,1570,514,1510,967,22,2,3,96,10,11,9,4
Galway,0,58,84,24,8,9,1,48,0,2,95,0,80,12,30,6,34,61,26,4,8,9,3,7,12,0,0,70,40,113,67,0,1,0,2,0,0,0,0
Kerry,0,8,42,11,6,0,0,51,0,0,42,0,102,5,2,0,4,13,18,0,4,2,3,1,6,0,0,26,27,38,32,0,0,0,1,0,0,0,0
Kildare,0,72,114,65,7,38,1,35,0,1,154,0,183,38,5,17,46,30,50,4,15,8,11,13,35,2,0,195,62,208,113,1,0,0,8,0,1,0,0
Kilkenny,0,21,24,22,5,0,0,27,6,0,58,0,50,6,1,4,9,6,6,0,10,4,2,5,9,0,0,23,21,41,36,0,0,0,1,0,0,0,0
Laois,0,7,7,15,1,8,1,15,2,3,17,0,51,2,3,0,4,3,7,5,4,1,0,10,13,1,0,32,11,21,10,0,0,0,0,0,0,0,0
Leitrim,0,5,1,1,0,0,0,3,0,1,9,0,6,0,2,0,2,1,1,1,0,0,1,0,0,0,0,6,1,8,2,0,0,0,0,0,0,0,0
Limerick,0,25,56,74,0,6,1,58,0,5,65,0,120,16,11,2,37,28,23,3,10,4,4,9,12,0,0,57,37,84,22,0,0,0,2,1,0,0,0
Longford,0,0,4,3,0,2,0,0,0,0,19,0,2,0,1,0,1,3,1,0,0,1,0,0,3,0,0,5,12,9,1,0,0,0,0,0,0,0,0
Louth,0,11,27,20,6,22,1,29,0,0,58,1,71,10,4,2,11,35,24,1,15,1,4,16,11,0,0,44,38,60,15,0,0,0,1,1,0,0,0
Mayo,0,10,8,6,2,4,0,21,0,1,50,0,21,1,3,1,12,11,10,2,6,0,0,3,7,0,0,11,12,29,8,0,0,0,0,0,0,0,0
Meath,0,28,74,68,7,17,0,48,0,1,127,2,138,17,19,6,23,43,48,5,22,9,7,5,17,0,0,154,72,106,46,0,0,0,6,1,0,0,0
Monaghan,0,5,10,2,3,15,0,1,0,0,25,0,5,2,1,0,4,3,4,3,1,1,0,0,4,0,0,12,5,4,5,0,0,0,0,0,0,0,0
Offaly,0,6,9,5,6,1,0,9,1,0,33,0,33,3,1,1,2,3,5,1,3,0,1,6,3,1,0,16,21,21,12,0,0,0,0,0,0,0,0
Roscommon,0,3,5,4,2,4,0,8,0,0,13,0,11,0,3,0,4,8,10,0,0,0,0,0,2,0,0,22,20,18,8,0,0,0,0,0,0,0,0
Sligo,0,8,7,4,6,5,0,22,0,0,27,0,20,0,2,1,3,7,0,0,12,0,1,1,6,0,0,10,17,20,8,0,0,0,0,0,0,0,0
Tipperary,0,14,33,20,2,2,0,43,0,3,56,0,51,5,0,1,18,17,10,1,12,3,2,6,8,0,0,25,36,24,10,0,0,0,1,0,0,0,0
Waterford,0,24,28,51,3,15,2,20,4,0,72,0,54,6,5,8,15,16,14,0,15,2,2,9,6,0,1,45,22,73,43,0,0,0,2,1,1,0,0
Westmeath,0,12,16,14,0,4,0,10,1,0,57,0,48,4,1,2,2,12,15,4,6,1,1,3,5,0,0,25,26,26,14,0,0,0,0,0,0,0,0
Wexford,0,17,40,40,6,7,1,19,3,0,59,0,61,2,2,4,12,41,14,2,18,1,3,18,10,0,0,43,35,88,56,0,0,0,3,0,1,0,0
Wicklow,0,31,61,68,2,6,0,23,3,1,69,1,81,24,13,3,16,36,33,9,3,16,8,10,35,0,3,159,30,105,42,0,0,0,3,0,4,0,0
