MTH,ALFA ROMEO,AUDI,BMW,BYD,CITROEN,CUPRA,FIAT,FORD,GWM,HONDA,HYUNDAI,JAGUAR,KIA,LAND ROVER,LEXUS,MAZDA,MERCEDES-BENZ,MG,NISSAN,OPEL,PEUGEOT,POLESTAR,PORSCHE,RENAULT,SKODA,SMART,SUBARU,TESLA,TOYOTA,VOLKSWAGEN,VOLVO,DS,FERRARI,LOTUS,MINI,SSANGYONG,JEEP,SEAT,DACIA
January,10,277,644,429,67,121,15,363,11,4,1068,15,681,287,133,57,310,321,243,51,124,31,73,56,185,0,4,66,306,788,300,14,0,0,17,0,13,8,0
February,1,208,378,143,14,102,1,132,7,2,222,9,335,131,79,22,156,175,43,12,27,22,38,81,56,6,1,346,113,146,255,2,1,0,3,1,6,0,0
March,1,197,527,148,28,80,2,137,8,3,165,3,312,110,46,20,121,102,77,12,30,10,45,24,125,0,0,418,112,286,258,1,0,0,0,0,0,0,0
April,1,154,324,121,14,31,3,69,2,13,178,6,284,65,25,9,68,63,16,3,6,4,29,10,83,4,2,18,113,278,196,0,0,0,0,0,0,0,0
May,0,71,233,60,1,57,4,145,8,6,80,4,66,39,38,0,85,44,5,11,35,28,16,10,10,8,0,237,54,287,155,1,0,0,10,4,2,0,0
June,0,23,35,12,6,6,0,12,0,0,21,0,17,8,4,1,12,13,4,0,4,16,9,2,4,1,0,511,11,34,20,0,0,0,12,0,1,0,0
July,1,282,697,277,40,106,4,199,5,10,667,4,688,170,44,37,263,155,128,25,156,22,64,124,43,9,2,203,403,652,404,5,0,1,51,4,1,1,0
August,0,80,113,96,11,15,0,59,1,4,107,8,364,64,29,9,56,44,32,11,45,13,35,20,49,2,1,365,37,187,86,1,1,1,7,2,0,0,0
September,0,65,74,82,6,28,2,135,4,2,228,1,129,30,28,18,41,32,48,8,25,57,34,15,12,3,1,254,67,144,77,0,1,1,24,2,0,0,0
October,0,25,156,68,7,27,4,40,0,1,34,0,70,16,10,31,16,29,64,1,6,53,22,1,7,1,1,38,33,91,31,0,0,0,12,1,0,0,0
November,0,17,66,25,7,12,0,10,0,0,10,0,49,2,5,1,6,21,28,0,7,43,18,1,1,0,1,233,33,20,10,0,0,0,3,0,1,0,5
December,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,33,2,2,0,0,15,0,0,1,1,0,237,1,0,0,0,0,0,0,0,0,0,0
