,MTH,tonale,a3,a4,a6,a7,a8,e-tron,e-tron gt,q3,q4 etron,q5,q8,q8 e-tron,2 series,3 series,5 series,7 series,i4,ix,ix1,ix3,x1,x2,x3,x5,xm,atto 3,dolphin,seal,berlingo pass,c4,c5 aircross,c5 x,space tourer,born,formentor,leon sp,500,panda,kuga,mach-e,puma,ora 03,civic,cr-v,jazz,zr-v,ioniq 5,ioniq 6,kona,tucson,f-pace,i-pace,compass,cee'd,ev6,ev9,niro,sportage,stonic,defender,discovery sport,range rover,range rover evoque r,range rover sport ra,velar,es,lbx,nx,rx,ux,cx-60,mx,c class,cla class,cle coupe,e class,eqa,eqb,eqe suv,eqv,gla class,glc,gle class,gle coupe,s class,mg4,mg5,zs,ariya,juke,leaf,qashqai,x-trail,astra,grandland x,mokka,208,308,408,508,2008,3008,5008,expert,rifter,polestar 2,cayenne,taycan,captur,megane,leon,enyaq,octavia,smart 1,solterra,swace,vitara,model 3,model y,bz4x,camry,c-hr,corolla,corolla cross,highlander,prius hybrid,rav 4,yaris,yaris cross,arteon,id buzz pc,id.3,id.4,id.5,id.7,t7,tiguan,touareg,up,c40,ex30,xc40,xc60,xc90,q6 e-tron,rs6,q7,i5,ix2,ami,ec4x,c5 aircorss,c4 x,ds4,unidentified,focus,hr-v,tuscon,santa fe,sorento,electre,mazda2,gls,eqs,eqe,eqs suv,glb,mg3,mini cooper,corsa,grandlandx,polestar 4,panamera,scenic,clio,arkana,symbioz,austral,rafale,kodiaq,smart 3,korandoo,torres,swift,golf,v60,duster,cyberster,polestar 3,giulia,sq8,x6,4 series,ds7,ny1,avenger,renegade,amg,a class,b class,e class hearse,hs,mini hatch,korando,rav4,DS3,ds9,doblo,500c,honda e,e-pace,mini clubman,mini countryman,combo pass,911,tarraco,600,superb,C40,a5,galaxy,m5,seal u,tavascan,spring,explorer,ev3,cx-80,aceman,macan,ex90,s-max,
0,January,10,27,6,8,9,1,5,9,62,73,51,8,31,35,146,53,11,43,14,78,21,71,0,58,85,4,128,91,210,6,25,12,9,8,56,58,6,16,19,365,8,315,11,15,0,14,0,174,119,522,995,8,6,7,142,161,92,203,562,7,46,31,13,18,164,15,40,0,84,49,15,48,9,28,39,31,78,31,58,36,1,33,105,43,29,19,208,27,62,74,239,169,25,219,11,17,15,24,0,11,11,53,80,109,0,0,31,24,36,16,56,1,184,41,0,4,13,79,4,62,46,67,740,966,549,10,74,1163,440,1191,5,21,191,378,41,44,1,33,21,52,34,47,77,59,79,0,0,13,24,0,0,12,0,0,2,0,0,0,0,17,9,0,0,2,6,41,10,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,5,0,0,1,9,3,12,7,3,6,0,0,24,11,0,0,2,1,2,3,1,1,2,4,5,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,February,1,10,8,3,2,2,4,1,48,103,18,5,13,1,71,101,9,26,2,48,10,62,3,26,9,0,25,34,84,0,7,5,3,0,61,38,2,4,5,130,4,76,7,8,0,1,0,54,8,107,196,4,5,6,85,39,21,178,367,19,16,21,8,13,66,7,17,1,57,22,4,22,0,15,33,20,66,10,14,2,0,17,74,24,3,6,123,10,36,24,136,19,19,51,4,3,4,3,0,13,2,5,17,48,0,2,22,34,1,0,81,4,56,86,6,1,3,53,247,99,64,17,236,277,298,4,12,399,174,235,1,4,65,15,2,3,5,12,6,32,14,24,77,63,75,0,0,7,5,4,0,2,0,0,1,1,1,0,0,5,0,0,0,0,2,72,2,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,1,1,1,2,5,4,3,4,1,2,6,3,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,March,1,13,2,6,3,1,1,10,53,89,4,5,17,2,44,162,10,42,6,68,32,49,7,55,39,0,44,28,76,2,4,9,6,2,33,45,1,2,2,138,2,92,8,7,3,4,6,40,16,125,128,0,2,4,93,70,35,193,229,19,20,8,20,8,47,7,20,50,38,8,1,18,2,10,30,25,95,4,10,27,0,14,54,23,9,5,69,12,17,41,132,36,24,42,1,3,7,13,3,7,2,1,33,64,0,5,10,38,7,17,24,8,125,38,0,0,2,73,211,207,49,19,243,325,158,4,8,324,514,399,1,9,159,61,1,1,7,34,8,5,10,44,33,113,51,0,0,4,7,6,0,13,0,0,0,0,3,0,0,0,0,0,2,1,0,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,1,0,0,5,1,2,0,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,April,1,7,2,6,1,2,2,3,83,32,12,1,9,6,19,74,3,20,1,36,16,24,5,29,97,1,45,18,58,6,2,8,3,1,14,15,2,4,2,69,1,60,2,2,17,3,6,14,7,54,156,2,4,1,73,123,15,124,105,6,14,5,23,5,20,2,7,47,27,12,15,8,1,5,13,9,46,3,1,8,1,6,23,13,6,4,46,9,8,10,21,6,3,11,1,1,1,3,1,1,1,1,3,16,1,1,4,20,9,1,10,3,83,23,4,2,1,21,17,1,31,10,122,253,243,1,3,216,78,60,1,5,31,175,19,29,7,8,2,2,3,34,5,87,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,May,0,4,3,1,1,2,1,1,13,27,20,0,4,0,37,36,2,5,4,32,10,9,0,26,61,6,24,9,0,0,1,4,0,0,42,15,0,1,4,145,0,38,8,4,6,3,1,20,11,98,49,1,3,1,14,16,8,31,75,6,2,2,9,7,17,2,7,17,31,10,2,0,0,4,12,12,67,0,2,0,0,9,20,6,1,4,25,13,6,2,25,3,1,14,1,0,10,3,3,4,0,3,34,5,0,4,28,15,1,1,6,1,10,16,2,0,2,17,9,228,19,3,73,169,73,1,0,141,74,198,0,0,0,0,9,0,6,6,4,0,3,36,3,91,22,0,0,0,3,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,June,0,0,0,0,3,0,0,0,2,7,10,1,0,0,1,5,0,1,0,12,7,1,0,5,3,0,5,1,6,1,0,1,3,0,2,4,0,0,0,12,0,38,0,0,0,1,0,4,0,9,18,0,0,0,2,2,2,7,14,0,2,0,1,4,0,1,1,7,3,1,2,1,0,1,0,2,3,2,1,1,0,0,3,2,1,0,2,7,4,0,1,4,0,0,0,0,0,0,0,0,0,0,5,0,1,0,16,3,5,0,2,0,4,0,0,0,0,17,289,222,10,0,18,38,19,0,0,29,16,58,0,0,2,26,1,2,0,2,1,0,0,4,3,6,8,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,July,1,11,4,14,9,5,7,1,51,80,34,13,14,9,75,128,5,44,0,52,44,69,3,56,196,3,73,83,0,5,10,13,2,2,33,66,4,3,10,200,3,291,5,13,14,18,8,135,58,344,674,0,4,4,72,173,60,219,363,36,21,17,110,12,69,10,34,100,22,32,12,26,11,26,41,39,126,8,11,19,1,29,81,41,10,4,79,33,42,60,102,68,19,71,6,0,17,5,38,11,10,45,339,52,1,1,20,35,6,67,81,10,35,38,5,2,11,25,36,167,108,3,558,584,262,1,39,854,378,785,3,45,61,418,22,82,4,5,11,0,0,88,41,154,86,8,0,43,12,4,0,21,0,0,0,0,103,1,0,50,155,1,4,0,6,22,6,4,42,36,2,0,0,24,43,10,94,0,48,48,20,4,0,4,140,2,13,0,0,2,1,0,0,1,5,0,1,2,2,3,0,0,1,4,0,0,0,0,0,2,0,0,0,11,0,0,1,2,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,August,0,6,1,37,1,0,0,0,8,19,26,6,0,0,18,5,0,13,2,4,43,8,0,8,6,1,31,12,53,1,9,0,0,1,8,7,0,0,1,59,0,111,1,8,6,26,2,14,7,148,117,6,2,7,24,101,38,159,178,10,7,4,22,7,23,1,10,45,30,5,2,7,2,12,7,9,28,0,4,6,1,8,16,10,2,3,18,16,10,15,13,17,3,13,2,0,5,3,2,6,1,18,99,30,1,1,12,22,2,11,14,0,33,29,1,1,8,2,306,59,11,0,72,69,198,0,1,159,54,199,2,8,14,110,3,33,1,7,3,0,5,32,17,23,8,6,1,17,2,3,1,2,5,1,1,1,42,8,45,13,59,1,2,2,1,2,1,2,19,7,3,1,1,11,6,1,8,46,9,3,22,1,1,1,78,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,September,0,7,2,41,1,0,1,1,4,18,23,0,1,3,8,2,0,12,0,8,14,20,0,5,0,0,24,18,34,0,4,1,1,0,19,7,1,2,1,75,2,83,4,5,2,10,0,11,4,53,70,1,0,1,15,40,12,29,70,6,12,3,9,0,4,2,6,28,27,4,9,5,1,3,9,5,9,1,6,3,1,2,11,9,0,0,11,12,9,17,6,31,2,4,2,0,5,4,4,2,0,6,52,5,0,0,35,16,2,5,4,4,3,11,1,1,6,2,167,87,22,0,117,106,112,0,10,132,55,147,0,10,10,10,10,10,0,0,21,0,6,13,15,27,14,2,0,6,0,2,1,2,0,0,0,1,15,7,0,164,18,1,1,1,1,2,1,1,15,21,1,0,13,7,11,6,6,13,4,2,12,2,0,1,42,1,2,0,0,9,0,0,0,0,0,0,0,2,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,6,0,0,58,0,12,0,9,0,1,0
9,October,0,2,0,6,1,0,2,0,3,10,0,0,2,21,12,33,0,9,0,11,8,21,1,5,29,2,11,3,18,2,1,2,0,1,15,12,0,3,0,21,1,31,0,0,1,3,0,2,2,16,19,0,0,1,9,21,6,20,22,2,3,3,4,1,5,0,3,18,9,2,2,16,6,0,6,0,3,1,1,0,0,1,2,3,0,0,7,8,11,7,7,57,10,0,0,0,1,2,0,1,0,4,36,3,0,0,38,2,4,6,0,5,2,6,0,1,0,0,6,32,15,0,19,36,40,0,4,61,19,90,0,2,12,52,7,8,4,4,0,0,2,9,5,6,6,2,0,5,1,4,3,0,0,0,0,0,9,2,0,13,9,0,0,0,0,4,1,0,7,10,0,0,11,4,1,1,11,6,2,1,6,1,0,1,20,0,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,36,0,0,18,6,9,0,12,2,0,0
10,November,0,1,0,11,0,0,0,0,0,3,5,1,0,13,6,11,1,1,0,5,2,4,0,3,17,1,5,1,6,2,2,0,0,1,2,1,0,0,1,7,0,2,0,1,0,0,0,2,0,5,9,0,0,0,1,13,0,17,3,0,0,0,0,0,2,0,0,4,5,0,0,0,0,1,3,0,5,0,1,1,0,1,2,1,1,0,9,4,8,0,0,28,0,0,0,0,0,1,0,0,0,1,2,4,0,1,26,3,8,1,1,0,0,4,0,1,1,6,168,65,23,0,10,13,11,0,1,20,16,51,0,0,5,13,2,4,0,0,0,0,1,2,2,3,2,7,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,10,1,0,0,1,0,2,0,0,0,0,0,3,0,0,27,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,13,9,5,3,16,1,1,6,0,0,0
11,December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,6,11,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,0,1,187,50,1,0,4,3,1,0,0,1,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
