,MTH,April,August,December,February,January,July,June,March,May,November,October,September,
0,January,0,0,0,0,14853,0,0,0,0,0,0,0,0
1,February,0,0,0,6216,0,0,0,0,0,0,0,0,0
2,March,0,0,0,0,0,0,0,6675,0,0,0,0,0
3,April,3674,0,0,0,0,0,0,0,0,0,0,0,0
4,May,0,0,0,0,0,0,0,0,2666,0,0,0,0
5,June,0,0,0,0,0,0,1086,0,0,0,0,0,0
6,July,0,0,0,0,0,12002,0,0,0,0,0,0,0
7,August,0,3880,0,0,0,0,0,0,0,0,0,0,0
8,September,0,0,0,0,0,0,0,0,0,0,0,2805,0
9,October,0,0,0,0,0,0,0,0,0,0,1401,0,0
10,November,0,0,0,0,0,0,0,0,0,838,0,0,0
11,December,0,0,354,0,0,0,0,0,0,0,0,0,0
