county,diesel electric (hybrid) min,diesel electric (hybrid) max,diesel/plug-in electric hybrid min,diesel/plug-in electric hybrid max,electric min,electric max,petrol electric (hybrid) min,petrol electric (hybrid) max,petrol/plug-in electric hybrid min,petrol/plug-in electric hybrid max
Antrim,26400,33995,,,10900,53576,9520,15000,,
Armagh,14290,68000,,,19039,37614,13086,38090,,
Carlow,23950,88445,43800,77950,6000,55950,5500,63800,14000,99995
Cavan,34999,53500,,,16450,42950,7500,42000,19000,28950
Clare,25995,54000,,,5800,79999,4950,65950,15500,58950
Cork,9900,96700,11000,84950,3500,84950,5500,73800,7895,118900
Derry,15650,28950,,,,,9526,56995,,
Donegal,20800,132250,5200,31750,5200,124950,3000,76950,14495,123456
Down,23219,73817,,,2650,46950,8930,34524,25600,25600
Dublin,6000,114950,25950,119950,2950,215000,999,159950,72500,299500
Fermanagh,14450,60720,,,17450,31500,11895,56557,,
Galway,4900,106900,34995,73950,3400,109995,1200,89950,8200,179950
Kerry,6950,58000,,,4500,78950,5850,69900,11500,89900
Kildare,9950,79950,29950,86750,3950,109950,1450,84950,11450,164950
Kilkenny,24400,32900,,,3450,91900,6950,77900,10450,73900
Laois,27950,89950,81950,81950,5250,43970,1950,43950,6450,47950
Leitrim,,,,,4280,4280,4950,19949,20500,29895
Limerick,8750,65900,43900,82900,2950,83900,2850,81950,10900,119950
Longford,46950,58750,45950,59950,15950,47999,6700,42950,16950,82950
Louth,25950,44900,,,5450,89995,4300,97995,13650,102495
Mayo,22950,52950,30000,66950,5300,78950,5750,53995,19500,75000
Meath,14950,55950,39950,75950,6950,79950,2500,74500,19950,96000
Monaghan,47995,47995,,,6500,42500,6300,53999,9500,68500
Offaly,12400,29495,,,6999,56950,13450,46995,13000,98950
Roscommon,21750,57995,,,35900,49995,7500,81900,30950,97900
Sligo,28900,85900,42900,85900,5750,70750,3800,66950,22900,84950
Tipperary,7500,58950,39995,69995,4150,99995,7000,95950,13500,79950
Tyrone,15181,116093,,,33280,50003,20831,40424,19450,27850
Waterford,25950,70950,36850,72995,3950,52950,5995,61950,14750,102985
Westmeath,27500,74950,43950,103950,4250,109995,5650,125950,18000,159995
Wexford,15950,84950,41950,89895,3650,93675,72000,77950,15900,124975
Wicklow,14750,71950,,,4950,61950,5500,113950,10000,124950
