County,Medium SUV (D3),Small Prestige (C2),Large Prestige (E2),Luxury Prestige (F2),Sports Prestige (G2),Small SUV (C3),Large SUV (E3),Medium Prestige (D2),Small Standard (C1),MPV Compact (M1),Medium Standard (D1),MPV Large (M2),Micro Standard (A1),Large Standard (E1),Sports Standard (G1),Excluded (x),Luxury Standard (F1),Mini Prestige (B2),Mini Standard (B1),"Medium SUV (D3), Small SUV (C3)",MPV Compact
Carlow,71,1,8,0,0,30,19,24,30,2,8,1,0,10,0,0,0,2,0,1,0
Cavan,77,0,3,0,0,16,9,16,21,2,7,0,0,3,0,0,0,0,0,0,0
Clare,192,1,13,1,1,36,39,39,80,2,3,2,2,13,0,0,0,1,0,0,0
Cork,1178,8,121,12,30,327,449,328,399,15,28,19,9,55,7,0,0,10,5,3,0
Donegal,220,0,3,2,0,49,61,24,66,4,4,4,0,18,0,0,0,0,0,1,0
Dublin,5941,114,742,220,255,1696,2248,1991,1806,97,173,56,75,371,49,2,3,98,31,32,2
Galway,356,4,40,4,7,97,116,93,130,14,13,6,4,19,3,1,0,2,3,2,0
Kerry,203,2,12,1,1,51,40,29,75,2,11,1,3,12,0,0,0,1,0,0,0
Kildare,619,5,38,4,15,182,190,184,173,6,22,10,6,53,7,0,0,9,2,7,0
Kilkenny,149,3,16,2,0,55,48,41,54,2,11,4,2,8,0,0,0,1,0,1,0
Laois,104,4,7,0,1,30,11,27,46,1,4,0,1,17,0,0,0,0,0,1,0
Leitrim,20,0,1,0,0,8,11,5,4,0,0,0,0,2,0,0,0,0,0,0,0
Limerick,307,4,33,3,7,83,74,98,105,4,13,7,3,27,0,0,0,2,1,1,0
Longford,28,0,1,0,0,13,4,9,8,0,2,0,0,2,0,0,0,0,0,0,0
Louth,207,3,7,1,0,48,63,53,106,8,14,1,6,18,2,0,0,1,0,1,0
Mayo,101,1,5,0,3,31,24,23,34,1,5,3,0,6,0,0,0,0,2,0,0
Meath,450,3,25,5,4,100,129,156,155,4,27,1,3,42,0,0,0,6,4,2,0
Monaghan,43,0,3,0,1,18,15,13,19,1,1,0,0,0,0,0,0,0,0,1,0
Offaly,87,1,2,1,0,14,26,20,32,4,7,1,0,8,0,0,0,0,0,0,0
Roscommon,63,0,4,0,1,14,15,13,28,1,4,0,0,1,0,0,0,0,0,1,0
Sligo,80,0,4,0,2,26,17,19,27,2,7,2,0,1,0,0,0,0,0,0,0
Tipperary,180,2,16,1,2,47,45,37,50,2,11,0,0,9,0,0,0,1,0,0,0
Waterford,186,1,16,1,3,81,65,70,95,1,8,4,7,16,1,0,0,2,1,1,0
Westmeath,128,1,3,1,1,38,43,33,43,1,5,0,0,12,0,0,0,0,0,0,0
Wexford,225,0,13,2,3,85,46,66,117,5,16,2,0,18,1,0,0,3,2,2,0
Wicklow,325,2,12,5,5,97,85,174,147,5,11,2,4,18,2,0,0,3,0,1,0
