MTH,Medium SUV (D3),Small Prestige (C2),Large Prestige (E2),Luxury Prestige (F2),Sports Prestige (G2),Small SUV (C3),Large SUV (E3),Medium Prestige (D2),Small Standard (C1),MPV Compact (M1),Medium Standard (D1),MPV Large (M2),Micro Standard (A1),Large Standard (E1),Sports Standard (G1),Excluded (x),Luxury Standard (F1),Mini Prestige (B2),Mini Standard (B1),"Medium SUV (D3), Small SUV (C3)",MPV Compact
January,2827,46,146,89,87,928,901,567,1066,19,94,30,65,161,19,0,0,20,27,0,0
February,1156,43,195,21,42,360,368,440,533,10,17,4,32,39,7,1,0,3,3,0,2
March,1335,8,213,30,55,381,355,369,528,21,16,11,7,70,5,0,0,0,4,0,0
April,686,9,108,19,32,321,294,105,251,14,213,7,5,123,5,0,0,0,0,0,0
May,965,1,98,7,12,185,182,153,158,16,0,4,3,16,4,0,0,10,0,0,0
June,351,0,12,6,2,41,28,314,26,2,3,0,0,2,0,0,0,12,0,0,0
July,2303,14,267,49,68,675,1002,416,704,61,52,48,2,173,15,0,1,51,5,41,0
August,665,1,27,16,17,160,254,435,216,15,2,10,1,101,3,1,1,7,6,17,0
September,638,4,16,11,14,124,314,297,150,16,12,8,3,40,2,1,1,24,3,0,0
October,340,21,42,8,11,58,134,85,130,8,4,3,6,21,11,0,0,12,2,0,0
November,198,13,15,10,2,31,48,209,85,3,2,1,1,13,0,0,0,3,1,0,0
December,76,0,9,0,0,8,12,195,3,1,0,0,0,0,1,0,0,0,0,0,0
