,County,automatic,ctb / linear gear,manual
0,Dublin,25412,102,507
1,Cork,6097,10,333
2,Louth,1175,1,40
3,Wicklow,1463,0,45
4,Clare,990,0,62
5,Limerick,1743,1,100
6,Tipperary,1048,1,82
7,Donegal,1062,0,63
8,Galway,2043,5,82
9,Kilkenny,813,1,56
10,Meath,2105,3,63
11,Kildare,2728,3,71
12,Kerry,978,0,54
13,Waterford,1014,1,41
14,Westmeath,689,0,28
15,Wexford,1209,0,38
16,Mayo,682,0,45
17,Roscommon,435,1,12
18,Laois,490,0,67
19,Offaly,521,0,25
20,Carlow,458,0,15
21,Sligo,446,0,19
22,Longford,227,0,4
23,Monaghan,250,0,14
24,Leitrim,145,0,5
25,Cavan,484,0,24
