Year,Month,Make,Model,Segment,Body,Engine,Transmission,County,Range,Quantity
2024,April,ALFA ROMEO,tonale,Medium SUV (D3),MPV,petrol/plug-in electric hybrid,automatic,Dublin,,1.0
2024,April,AUDI,a3,Small Prestige (C2),Hatchback,petrol/plug-in electric hybrid,automatic,Dublin,,3.0
2024,April,AUDI,a6,Large Prestige (E2),Saloon,petrol/plug-in electric hybrid,automatic,Clare,,1.0
2024,April,AUDI,a6,Large Prestige (E2),Saloon,petrol/plug-in electric hybrid,automatic,Dublin,,5.0
2024,April,AUDI,a7,Large Prestige (E2),Hatchback,petrol/plug-in electric hybrid,automatic,Dublin,,1.0
2024,April,AUDI,a8,Luxury Prestige (F2),Saloon,petrol/plug-in electric hybrid,automatic,Dublin,,2.0
2024,April,AUDI,e-tron,Sports Prestige (G2),Hatchback,electric,automatic,Dublin,,2.0
2024,April,AUDI,e-tron gt,Luxury Prestige (F2),Hatchback,electric,automatic,Dublin,,1.0
2024,April,AUDI,e-tron gt,Luxury Prestige (F2),Hatchback,electric,automatic,Limerick,,1.0
2024,April,AUDI,e-tron gt,Luxury Prestige (F2),Hatchback,electric,automatic,Tipperary,,1.0
2024,April,AUDI,q3,Small SUV (C3),Hatchback,petrol/plug-in electric hybrid,automatic,Cork,,4.0
2024,April,AUDI,q3,Small SUV (C3),Hatchback,petrol/plug-in electric hybrid,automatic,Dublin,,34.0
2024,April,AUDI,q3,Small SUV (C3),Hatchback,petrol/plug-in electric hybrid,automatic,Donegal,,1.0
2024,April,AUDI,q3,Small SUV (C3),Hatchback,petrol/plug-in electric hybrid,automatic,Galway,,4.0
2024,April,AUDI,q3,Small SUV (C3),Hatchback,petrol/plug-in electric hybrid,automatic,Kilkenny,,1.0
2024,April,AUDI,q3,Small SUV (C3),Hatchback,petrol/plug-in electric hybrid,automatic,Louth,,1.0
2024,April,AUDI,q3,Small SUV (C3),Hatchback,petrol/plug-in electric hybrid,automatic,Meath,,1.0
2024,April,AUDI,q3,Small SUV (C3),Station Wagon,petrol/plug-in electric hybrid,automatic,Cork,,1.0
2024,April,AUDI,q3,Small SUV (C3),Station Wagon,petrol/plug-in electric hybrid,automatic,Dublin,,31.0
2024,April,AUDI,q3,Small SUV (C3),Station Wagon,petrol/plug-in electric hybrid,automatic,Galway,,4.0
2024,April,AUDI,q3,Small SUV (C3),Station Wagon,petrol/plug-in electric hybrid,automatic,Kildare,,1.0
2024,April,AUDI,q4 etron,Small SUV (C3),Hatchback,electric,automatic,Dublin,,3.0
2024,April,AUDI,q4 etron,Small SUV (C3),Hatchback,electric,automatic,Kerry,,1.0
2024,April,AUDI,q4 etron,Small SUV (C3),Station Wagon,electric,automatic,Cork,,1.0
2024,April,AUDI,q4 etron,Small SUV (C3),Station Wagon,electric,automatic,Dublin,,16.0
2024,April,AUDI,q4 etron,Small SUV (C3),Station Wagon,electric,automatic,Kilkenny,,3.0
2024,April,AUDI,q4 etron,Small SUV (C3),Station Wagon,electric,automatic,Limerick,,1.0
2024,April,AUDI,q4 etron,Small SUV (C3),Station Wagon,electric,automatic,Tipperary,,1.0
2024,April,AUDI,q4 etron,Small SUV (C3),Station Wagon,electric,automatic,Waterford,,1.0
2024,April,AUDI,q4 etron,Small SUV (C3),Station Wagon,electric,automatic,Westmeath,,1.0
2024,April,AUDI,q4 etron,Small SUV (C3),Station Wagon,electric,automatic,Wicklow,,2.0
2024,April,AUDI,q4 etron,Small SUV (C3),Station Wagon,electric,automatic,Wexford,,2.0
2024,April,AUDI,q5,Medium SUV (D3),Hatchback,petrol/plug-in electric hybrid,automatic,Cork,,1.0
2024,April,AUDI,q5,Medium SUV (D3),Station Wagon,petrol/plug-in electric hybrid,automatic,Cork,,1.0
2024,April,AUDI,q5,Medium SUV (D3),Station Wagon,petrol/plug-in electric hybrid,automatic,Clare,,1.0
2024,April,AUDI,q5,Medium SUV (D3),Station Wagon,petrol/plug-in electric hybrid,automatic,Dublin,,5.0
2024,April,AUDI,q5,Medium SUV (D3),Station Wagon,petrol/plug-in electric hybrid,automatic,Kildare,,2.0
